Location,BHK,Area_sqft,Price_Lakhs,Age_Years,Parking,Status
Miyapur - Hyderabad,2,981,62.74,1,No,Available
Whitefield - Bangalore,2,1093,84.22,20,Yes,Sold
Marathahalli - Bangalore,3,1567,139.06,4,No,Sold
Porur - Chennai,1,589,31.76,10,No,Sold
Electronic City - Bangalore,3,1433,120.43,0,Yes,Sold
Wakad - Pune,2,1092,72.86,10,No,Available
Jubilee Hills - Hyderabad,2,957,148.63,8,No,Available
Andheri - Mumbai,1,529,135.68,1,Yes,Sold
Hitech City - Hyderabad,2,949,89.25,3,No,Available
Hadapsar - Pune,2,884,49.41,4,No,Sold
HSR Layout - Bangalore,3,1558,158.64,8,Yes,Available
Electronic City - Bangalore,3,1452,112.9,1,Yes,Sold
Navi Mumbai - Mumbai,2,859,88.77,7,Yes,Sold
Kothrud - Pune,1,581,51.44,1,Yes,Sold
Hadapsar - Pune,3,1411,75.92,8,Yes,Available
Hebbal - Bangalore,2,1131,87.58,10,No,Available
OMR - Chennai,2,1201,91.58,2,No,Available
Kondapur - Hyderabad,3,1635,121.34,20,No,Sold
Whitefield - Bangalore,2,1121,98.04,7,Yes,Available
Jubilee Hills - Hyderabad,2,1014,128.6,10,Yes,Available
Kondapur - Hyderabad,2,1067,95.42,7,Yes,Sold
Tambaram - Chennai,3,1631,76.81,3,Yes,Sold
Miyapur - Hyderabad,3,1630,99.77,6,Yes,Available
Velachery - Chennai,2,1185,105.41,6,Yes,Available
Kukatpally - Hyderabad,4,2104,136.09,4,Yes,Available
Rohini - Delhi,1,481,41.75,4,Yes,Available
Indiranagar - Bangalore,3,1844,225.65,12,Yes,Sold
Miyapur - Hyderabad,4,2503,154.03,0,Yes,Available
Baner - Pune,3,1706,172.63,7,Yes,Available
Hebbal - Bangalore,1,592,53.27,6,No,Sold
Koramangala - Bangalore,2,1087,172.53,3,No,Available
Porur - Chennai,4,2483,231.18,1,No,Sold
OMR - Chennai,3,1553,124.49,5,Yes,Sold
Noida Sector 62 - Delhi,3,1496,130.04,7,No,Sold
Hinjewadi - Pune,2,1105,76.38,2,Yes,Available
Hadapsar - Pune,2,1065,73.11,10,Yes,Sold
Koramangala - Bangalore,3,1691,251.79,2,Yes,Available
Borivali - Mumbai,2,1080,168.51,5,Yes,Available
Madhapur - Hyderabad,2,1054,67.7,15,Yes,Sold
Indiranagar - Bangalore,2,1002,157.17,10,Yes,Available
Hinjewadi - Pune,3,1526,120.8,20,Yes,Sold
Velachery - Chennai,2,943,84.42,20,Yes,Available
Sarjapur - Bangalore,1,646,43.04,0,No,Available
Gurgaon - Delhi,3,1513,220.67,1,No,Available
Banjara Hills - Hyderabad,1,572,90.43,3,Yes,Sold
Porur - Chennai,3,1647,99.79,12,Yes,Available
Baner - Pune,1,506,42.01,10,No,Sold
Wakad - Pune,3,1381,109.73,5,Yes,Available
Kukatpally - Hyderabad,2,1073,70.41,20,Yes,Available
Electronic City - Bangalore,2,1010,78.97,2,Yes,Sold
Whitefield - Bangalore,4,2059,194.57,1,No,Available
Powai - Mumbai,3,1628,428.17,1,Yes,Available
Andheri - Mumbai,1,564,148.16,1,Yes,Sold
Jubilee Hills - Hyderabad,3,1651,297.07,5,Yes,Available
Madhapur - Hyderabad,2,912,62.78,6,No,Sold
Andheri - Mumbai,3,1534,379.17,10,Yes,Sold
Hitech City - Hyderabad,2,1057,84.84,7,Yes,Available
OMR - Chennai,3,1401,122.99,1,Yes,Sold
Porur - Chennai,1,578,44.04,3,Yes,Available
Velachery - Chennai,2,911,69.93,5,Yes,Sold
Porur - Chennai,3,1545,106.34,15,Yes,Available
Electronic City - Bangalore,3,1746,126.08,8,No,Sold
Thane - Mumbai,3,1785,244.18,0,Yes,Available
Thane - Mumbai,2,1017,152.7,0,Yes,Sold
Andheri - Mumbai,2,975,182.94,5,Yes,Available
Dwarka - Delhi,1,605,57.6,8,No,Available
Tambaram - Chennai,2,925,51.94,6,No,Sold
Jubilee Hills - Hyderabad,3,1695,248.76,7,Yes,Available
Noida Sector 62 - Delhi,3,1566,132.48,6,Yes,Sold
Hadapsar - Pune,2,1044,72.46,5,No,Available
Porur - Chennai,3,1489,107.98,4,Yes,Available
HSR Layout - Bangalore,3,1520,139.62,7,Yes,Available
Miyapur - Hyderabad,3,1647,79.31,20,Yes,Sold
Thane - Mumbai,4,2504,323.42,10,Yes,Sold
Whitefield - Bangalore,4,2308,229.48,0,Yes,Available
Gurgaon - Delhi,3,1687,197.91,7,Yes,Sold
Marathahalli - Bangalore,2,1160,97.06,2,Yes,Sold
HSR Layout - Bangalore,2,1137,107.28,10,No,Sold
Rohini - Delhi,2,1068,98.96,8,No,Available
Andheri - Mumbai,4,2257,454.98,4,Yes,Sold
Dwarka - Delhi,3,1474,158.86,12,Yes,Available
Navi Mumbai - Mumbai,3,1459,149.09,10,Yes,Sold
Baner - Pune,3,1517,151.05,8,No,Sold
Madhapur - Hyderabad,1,598,40.32,8,No,Available
Madhapur - Hyderabad,4,2639,209.22,5,Yes,Available
Jubilee Hills - Hyderabad,2,1072,149.92,6,No,Sold
Anna Nagar - Chennai,2,1000,148.15,2,Yes,Available
Tambaram - Chennai,3,1689,79.28,10,Yes,Available
Kukatpally - Hyderabad,2,1061,60.61,4,No,Available
Wakad - Pune,2,1143,79.58,20,Yes,Available
Vasant Kunj - Delhi,4,2347,343.77,12,Yes,Sold
Rohini - Delhi,2,1173,101.72,4,No,Sold
Sarjapur - Bangalore,2,1041,71.82,3,Yes,Available
Baner - Pune,2,973,95.01,15,Yes,Available
Thane - Mumbai,2,1037,135.54,1,No,Sold
Borivali - Mumbai,3,1326,229.42,15,Yes,Available
Dwarka - Delhi,2,1044,108.87,7,No,Available
Miyapur - Hyderabad,2,1066,59.46,4,Yes,Sold
Bandra - Mumbai,3,1536,777.74,4,Yes,Available
Powai - Mumbai,2,966,221.24,6,Yes,Sold
Borivali - Mumbai,2,1238,253.06,7,Yes,Available
Powai - Mumbai,2,1101,313.91,5,Yes,Sold
Andheri - Mumbai,2,1084,246.59,2,No,Sold
Madhapur - Hyderabad,1,549,36.28,4,Yes,Available
Electronic City - Bangalore,3,1541,86.13,7,No,Sold
Baner - Pune,4,2313,209.6,12,Yes,Available
Rohini - Delhi,3,1322,132.58,2,Yes,Sold
Marathahalli - Bangalore,3,1793,120.64,15,Yes,Available
Kukatpally - Hyderabad,1,494,25.56,20,Yes,Available
Kothrud - Pune,3,1544,147.87,3,Yes,Sold
HSR Layout - Bangalore,2,921,101.48,20,Yes,Sold
Anna Nagar - Chennai,3,1346,156.77,8,Yes,Sold
Powai - Mumbai,2,1068,217.51,4,No,Sold
Velachery - Chennai,2,1077,74.36,6,Yes,Sold
Marathahalli - Bangalore,2,1039,72.43,7,Yes,Available
Indiranagar - Bangalore,2,862,131.23,0,Yes,Sold
Madhapur - Hyderabad,1,558,41.57,7,Yes,Sold
Gachibowli - Hyderabad,2,1076,103.82,1,Yes,Sold
Jubilee Hills - Hyderabad,3,1767,251.83,5,Yes,Available
Rohini - Delhi,4,2552,213.27,10,Yes,Available
Baner - Pune,2,978,90.46,7,Yes,Available
OMR - Chennai,3,1595,85.27,7,No,Available
Indiranagar - Bangalore,2,1106,171.03,0,Yes,Available
Navi Mumbai - Mumbai,2,1031,126.59,8,Yes,Available
Electronic City - Bangalore,3,1690,135.7,4,Yes,Available
Hebbal - Bangalore,4,2311,245.59,8,Yes,Sold
Indiranagar - Bangalore,3,1663,267.35,0,Yes,Sold
Tambaram - Chennai,2,1027,65.82,5,Yes,Sold
Kothrud - Pune,2,1108,104.06,10,No,Available
Madhapur - Hyderabad,2,1087,71.34,7,No,Available
Hebbal - Bangalore,2,1032,83.06,4,Yes,Sold
Hadapsar - Pune,3,1659,107.51,2,Yes,Sold
Vasant Kunj - Delhi,3,1561,367.49,1,Yes,Sold
Borivali - Mumbai,3,1511,212.4,20,Yes,Available
Kothrud - Pune,2,883,95.69,6,Yes,Sold
Electronic City - Bangalore,2,1212,76.98,7,Yes,Available
Tambaram - Chennai,2,1054,60.19,1,No,Available
Kothrud - Pune,3,1728,192.26,5,Yes,Available
Velachery - Chennai,3,1765,154.94,6,Yes,Sold
Thane - Mumbai,2,1105,119.19,15,Yes,Sold
Dwarka - Delhi,3,1449,159.0,2,Yes,Sold
Thane - Mumbai,3,1764,222.53,2,No,Sold
Kukatpally - Hyderabad,2,1085,66.6,6,No,Available
Kondapur - Hyderabad,3,1370,126.05,3,Yes,Sold
Electronic City - Bangalore,2,1051,61.81,12,Yes,Available
Rohini - Delhi,3,1563,145.12,0,Yes,Available
Velachery - Chennai,3,1429,101.83,5,No,Sold
Dwarka - Delhi,2,1034,107.03,12,No,Available
Kothrud - Pune,4,2544,281.81,10,Yes,Sold
Gachibowli - Hyderabad,3,1812,176.2,3,No,Sold
Banjara Hills - Hyderabad,2,1028,146.93,4,Yes,Available
Jubilee Hills - Hyderabad,2,1005,147.48,0,No,Available
Baner - Pune,3,1550,128.67,2,No,Sold
Miyapur - Hyderabad,3,1753,104.1,7,Yes,Sold
Banjara Hills - Hyderabad,2,1159,161.63,12,Yes,Sold
